date,ensemble
2020-10-21,1244264.5855805788
2020-10-22,1256147.6706715669
2020-10-23,1261677.0182499683
2020-10-26,1227604.1193711157
2020-10-27,1206438.5097020788
2020-10-28,1162977.8684201364
2020-10-29,1171426.7107364663
2020-10-30,1162338.9202126933
2020-11-02,1188472.6111230326
2020-11-03,1226714.977410264
2020-11-04,1254233.4455213023
2020-11-05,1284656.533163972
2020-11-06,1278407.2063836528
2020-11-09,1359289.195355363
2020-11-10,1357929.907374759
2020-11-11,1357928.3615182834
2020-11-12,1352170.118498607
2020-11-13,1366860.052323909
2020-11-16,1388710.288176532
2020-11-17,1380835.4310534091
2020-11-18,1365987.977579162
2020-11-19,1366159.7285137628
2020-11-20,1352911.7980366205
2020-11-23,1378514.6143017267
2020-11-24,1396165.6681309198
2020-11-25,1392789.802907989
2020-11-27,1397685.7691517328
2020-11-30,1386307.9165478204
2020-12-01,1400513.9822826835
2020-12-02,1417905.2581921075
2020-12-03,1431346.4533520197
2020-12-04,1450253.9764881586
2020-12-07,1452129.3252888178
2020-12-08,1453933.1516132806
2020-12-09,1432546.119783447
2020-12-10,1427231.649755523
2020-12-11,1419595.8900814508
2020-12-14,1411786.5245762323
2020-12-15,1426664.1791515802
2020-12-16,1424643.9375172113
2020-12-17,1430442.1515675045
2020-12-18,1414294.0106220697
2020-12-21,1408588.1345653986
2020-12-22,1402205.576860473
2020-12-23,1398662.229066894
2020-12-24,1404209.790998504
2020-12-28,1403781.0398579095
2020-12-29,1400457.4197216486
2020-12-30,1406961.634157226
2020-12-31,1406679.197916076
2021-01-04,1393274.400564239
2021-01-05,1408772.4651873468
2021-01-06,1424274.7913653788
2021-01-07,1443836.854560205
2021-01-08,1433019.791374021
2021-01-11,1443220.6316196264
2021-01-12,1460685.903030927
2021-01-13,1455228.06751209
2021-01-14,1483544.189675863
2021-01-15,1466330.5190959524
2021-01-19,1498256.9266505789
2021-01-20,1493919.4230027746
2021-01-21,1486274.3203073095
2021-01-22,1477840.6542831014
2021-01-25,1475092.022110517
2021-01-26,1461118.3104177068
2021-01-27,1402569.748848493
2021-01-28,1409062.991536672
2021-01-29,1367550.3332820486
2021-02-01,1397413.801673467
2021-02-02,1430223.9877687048
2021-02-03,1422179.3869453024
2021-02-04,1449765.7593389105
2021-02-05,1439318.7095904895
2021-02-08,1469198.7237144064
2021-02-09,1464365.2700000356
2021-02-10,1472403.415400083
2021-02-11,1509783.3670878955
2021-02-12,1521150.4777999471
2021-02-16,1527508.8293634008
2021-02-17,1518141.0670342993
2021-02-18,1505386.3367229055
2021-02-19,1526629.9092279028
2021-02-22,1498588.8173032354
2021-02-23,1498524.8615537237
2021-02-24,1550997.3151574682
2021-02-25,1477307.846214826
2021-02-26,1483710.2343640877
2021-03-01,1530480.9073834966
2021-03-02,1506467.3102250646
2021-03-03,1480241.5630193304
2021-03-04,1447915.7713151523
2021-03-05,1479150.3946748327
2021-03-08,1437090.487999494
2021-03-09,1482337.5785642215
2021-03-10,1480052.04144531
2021-03-11,1502508.0395322393
2021-03-12,1510329.099476392
2021-03-15,1523886.4618669103
2021-03-16,1522455.178087766
2021-03-17,1536408.476952131
2021-03-18,1515914.723595197
2021-03-19,1521195.5495763372
2021-03-22,1538111.9409375738
2021-03-23,1507885.4009385656
2021-03-24,1510547.12082916
2021-03-25,1518849.7894940923
2021-03-26,1562813.6291585516
2021-03-29,1555304.4489579748
2021-03-30,1555128.6275754522
2021-03-31,1575314.7130876137
2021-04-01,1618869.022160108
2021-04-05,1651483.955273206
2021-04-06,1642765.2026162697
2021-04-07,1643910.219598848
2021-04-08,1649239.528693227
2021-04-09,1653981.057053818
2021-04-12,1652312.5094498715
2021-04-13,1651601.586168962
2021-04-14,1649781.482030397
2021-04-15,1667646.4930998683
2021-04-16,1667836.6884397313
2021-04-19,1662682.7145135875
2021-04-20,1657068.4390066145
2021-04-21,1676609.9377506252
2021-04-22,1671567.8891618724
2021-04-23,1680318.02419548
2021-04-26,1669894.2941883083
2021-04-27,1670996.9949281688
2021-04-28,1664418.690386581
2021-04-29,1679042.4657543178
2021-04-30,1668008.8429315565
2021-05-03,1681206.9706638332
2021-05-04,1674157.338405418
2021-05-05,1662534.5604722972
2021-05-06,1664119.242605972
2021-05-07,1696098.507287788
2021-05-10,1690598.2333791729
2021-05-11,1666344.6423480983
2021-05-12,1634475.292753982
2021-05-13,1649622.8928716655
2021-05-14,1667703.6546772
2021-05-17,1668930.834305572
2021-05-18,1658683.6444490429
2021-05-19,1654205.0632980342
2021-05-20,1670906.8314817424
2021-05-21,1680187.795604515
