,date,account_value
511,2020-01-14,1104065.2159155859
512,2020-01-15,1116295.3018168462
513,2020-01-16,1125771.973455335
514,2020-01-17,1122590.0489691747
515,2020-01-21,1121185.6151560796
516,2020-01-22,1117623.802947904
517,2020-01-23,1118868.868511106
518,2020-01-24,1102724.527847196
519,2020-01-27,1076269.3562373174
520,2020-01-28,1087884.449476148
521,2020-01-29,1079473.7660006536
522,2020-01-30,1077836.129321958
523,2020-01-31,1048045.4559077275
524,2020-02-03,1054990.620294019
525,2020-02-04,1078245.7741812519
526,2020-02-05,1113310.9936274341
527,2020-02-06,1107307.513645058
528,2020-02-07,1103264.2865664675
529,2020-02-10,1104214.6397797777
530,2020-02-11,1114894.1887604906
531,2020-02-12,1142905.8974778368
532,2020-02-13,1139705.1894731924
533,2020-02-14,1134788.413124264
534,2020-02-18,1138394.1904813654
535,2020-02-19,1150288.648787678
536,2020-02-20,1145882.5684406168
537,2020-02-21,1136692.3648416407
538,2020-02-24,1070003.3905698664
539,2020-02-25,1022210.0685235865
540,2020-02-26,1021241.3595392115
541,2020-02-27,979788.8623906977
542,2020-02-28,984064.8235418207
543,2020-03-02,1030252.1828500635
544,2020-03-03,989232.006496609
545,2020-03-04,1062907.6077815897
546,2020-03-05,1032898.3758088953
547,2020-03-06,1029256.5727273829
548,2020-03-09,976156.1721345789
549,2020-03-10,975180.0247284463
550,2020-03-11,965265.9356536584
551,2020-03-12,965053.5842988687
552,2020-03-13,965053.5842988687
553,2020-03-16,965053.5842988687
554,2020-03-17,965053.5842988687
555,2020-03-18,965053.5842988687
556,2020-03-19,965053.5842988687
557,2020-03-20,965053.5842988687
558,2020-03-23,965053.5842988687
559,2020-03-24,965053.5842988687
560,2020-03-25,965053.5842988687
561,2020-03-26,965053.5842988687
562,2020-03-27,959097.1162771956
563,2020-03-30,969308.3478636384
564,2020-03-31,954284.5840730446
565,2020-04-01,912795.1747315119
566,2020-04-02,920914.1547490681
567,2020-04-03,919996.7320659985
568,2020-04-06,935665.7139812714
569,2020-04-07,935471.6781632373
570,2020-04-08,943402.6961793432
571,2020-04-09,950516.5108287554
572,2020-04-13,940211.6333306094
573,2020-04-14,968599.9767195112
574,2020-04-15,942289.8817806055
575,2020-04-16,957312.7441209337
576,2020-04-17,979635.6692337315
577,2020-04-20,955158.9397938186
578,2020-04-21,918590.4670718691
579,2020-04-22,951297.198483228
580,2020-04-23,950899.3644224674
581,2020-04-24,967962.8768490312
582,2020-04-27,987839.9866362917
583,2020-04-28,981360.8608770564
584,2020-04-29,1001999.2904217493
585,2020-04-30,978772.5853601581
586,2020-05-01,945443.7303279507
587,2020-05-04,952007.6220589421
588,2020-05-05,966209.6580652201
589,2020-05-06,959197.8892204363
590,2020-05-07,968212.263057852
591,2020-05-08,989624.282581957
592,2020-05-11,989439.3638142778
593,2020-05-12,966509.5450302012
594,2020-05-13,940804.3578942359
595,2020-05-14,968721.9521618845
596,2020-05-15,966982.2569800456
597,2020-05-18,999221.0094762766
598,2020-05-19,989490.9528142397
599,2020-05-20,1003272.1202186081
600,2020-05-21,997005.3906352113
601,2020-05-22,1001494.8805182526
602,2020-05-26,1019833.5950888093
603,2020-05-27,1041132.8088941376
604,2020-05-28,1037134.1543558122
605,2020-05-29,1049804.648782881
606,2020-06-01,1051887.972562301
607,2020-06-02,1054939.8092184088
608,2020-06-03,1074322.1409309485
609,2020-06-04,1067013.463672474
610,2020-06-05,1101287.6047787974
611,2020-06-08,1106229.4207118114
612,2020-06-09,1102311.1809035924
613,2020-06-10,1092142.144067689
614,2020-06-11,1018128.1150902321
615,2020-06-12,1031062.1883178895
616,2020-06-15,1041495.3354316895
617,2020-06-16,1064565.8387581054
618,2020-06-17,1067029.8639999572
619,2020-06-18,1066864.1203323547
620,2020-06-19,1066714.1132866088
621,2020-06-22,1072835.1337944213
622,2020-06-23,1079090.786217395
623,2020-06-24,1047224.1437495014
624,2020-06-25,1066947.8119378292
625,2020-06-26,1038081.7910219663
626,2020-06-29,1054781.5387835114
627,2020-06-30,1081996.1650453808
628,2020-07-01,1091330.8607425473
629,2020-07-02,1097851.736798011
630,2020-07-06,1115884.6361933015
631,2020-07-07,1103758.066329383
632,2020-07-08,1113554.9528779872
633,2020-07-09,1104459.763364177
634,2020-07-10,1113377.178178161
635,2020-07-13,1109238.0059552414
636,2020-07-14,1130810.7518925888
637,2020-07-15,1132025.549926303
638,2020-07-16,1135733.169392955
639,2020-07-17,1138890.1789015266
640,2020-07-20,1143450.889727874
641,2020-07-21,1145538.9104060852
